Seq,station,lat,lon,country,distance(km)
80,吉大港,22°19′N,091°48′E,孟加拉,6.957802379
67,图阿马西纳港,18°08′S,049°22′E,马达加斯加,7.291866655
123,穆阿拉港,05°01′N,115°04′E,文莱,7.619411203
167,穆阿拉港,05°01′N,115°04′E,文莱,7.619411203
123,穆阿拉港,05°01′N,115°04′E,文莱,7.619411203
146,杜蒂戈林港,08°45′N,078°13′E,印度,7.934535619
150,孟买港,18°57′N,072°51′E,印度,7.962935931
6,扎伊德港,24°31′.4N,054°23′.0E,阿拉伯联合酋长国,8.544234565
6,扎伊德港,24°31′.4N,054°23′.0E,阿拉伯联合酋长国,8.544234565
137,阿巴斯港,27°08′.8N,056°12′.2E,伊朗,8.69329429
162,海防港,20°52′N,106°41′E,越南,9.028098083
162,海防港,20°52′N,106°41′E,越南,9.028098083
4,阿布扎比港,24°32′N,054°23′E,阿拉伯联合酋长国,9.560337091
4,阿布扎比港,24°32′N,054°23′E,阿拉伯联合酋长国,9.560337091
37,瓜亚基尔港,02°17′S,079°54′W,厄瓜多尔,10.67157905
37,瓜亚基尔港,02°17′S,079°54′W,厄瓜多尔,10.67157905
73,马六甲港,02°12′.8N,102°09′.3E,马来西亚,11.27548963
27,锡特拉港,26°09′.5N,050°40′.2E,巴林,11.38616089
85,蒙特卡洛港,43°44′N,007°26′E,摩纳哥,12.79860404
56,镇海港,35°07′N,128°42′E,韩国,13.35707103
97,达曼港,26°30′.7N,050°12′.2E,沙特阿拉伯,15.14160209
46,三宝颜,N6.55,E122.05,菲律宾,15.85636281
46,三宝颜,N6.55,E122.05,菲律宾,15.85636281
129,樟宜港,01°19′N,104°01′E,新加坡,19.35500943
59,西哈努克港,10°38′N,103°29′E,柬埔寨,19.50753357
59,西哈努克港,10°38′N,103°29′E,柬埔寨,19.50753357
36,扎鲁比诺港,42°38′N,131°05′E,俄罗斯,23.31070059
124,斯里巴加湾港,04°54′N,114°56′E,文莱,24.78507675
